anio,trimestre,provincia,velocidad_promedio,total_accesos
2022,2,Entre Ríos,66.32475,269352
2022,2,Formosa,72.77991666666667,67881
2022,2,Jujuy,96.37376923076923,115314
2022,2,La Pampa,34.753321428571425,111527
2022,2,La Rioja,82.194,86030
2022,2,Mendoza,88.70521621621621,279562
2022,2,Misiones,67.3661875,178813
2022,2,Neuquén,74.26613793103448,161968
2022,2,Río Negro,131.08697297297297,159764
2022,2,Salta,69.77991666666667,203177
2022,2,San Juan,29.56607692307692,100407
2022,2,San Luis,12.143714285714285,121741
2022,2,Santa Cruz,18.574749999999998,49185
2022,2,Santa Fe,92.85935714285714,878859
2022,2,Santiago Del Estero,88.26871999999999,118044
2022,2,Tierra Del Fuego,30.507785714285713,53769
2022,2,Tucumán,105.446,254527
2022,3,Buenos Aires,112.28436486486486,5044432
2022,3,Capital Federal,149.86225,1504686
2022,3,Catamarca,131.05295652173913,74933
2022,3,Chaco,118.40406896551724,155543
2022,3,Chubut,65.20861764705882,170674
2022,3,Corrientes,118.59372413793103,157894
2022,3,Córdoba,115.83108620689656,1082096
2022,3,Entre Ríos,97.36976666666666,296552
2022,3,Formosa,89.60372,62718
2022,3,Jujuy,130.95421428571427,118051
2022,3,La Pampa,84.57857575757575,122195
2022,3,La Rioja,107.721,87782
2022,3,Mendoza,95.05656756756757,302597
2022,3,Misiones,123.71872727272726,202556
2022,3,Neuquén,101.15915625,164246
2022,3,Río Negro,124.55366666666666,170352
2022,3,Salta,145.65812121212122,202860
2022,3,San Juan,69.61918518518517,106666
2022,3,San Luis,105.87844444444444,156088
2022,3,Santa Cruz,55.315406249999995,80208
2022,3,Santa Fe,133.0442075471698,918585
2022,3,Santiago Del Estero,103.86046428571429,124362
2022,3,Tierra Del Fuego,54.14059999999999,61554
2022,3,Tucumán,122.52111764705882,264595
2022,4,Buenos Aires,128.1522976190476,4794665
2022,4,Capital Federal,135.7187358490566,1551926
2022,4,Catamarca,64.43895238095237,70909
2022,4,Chaco,89.11228125,143663
2022,4,Chubut,32.9031,168759
2022,4,Corrientes,99.72207142857143,155453
2022,4,Córdoba,112.40168852459016,1049660
2022,4,Entre Ríos,94.55740625,270974
2022,4,Formosa,93.32158333333332,61840
2022,4,Jujuy,121.09118518518518,118218
2022,4,La Pampa,49.10665517241379,114164
2022,4,La Rioja,104.12878260869566,86262
2022,4,Mendoza,88.70521621621621,292104
2022,4,Misiones,87.02051428571428,186269
2022,4,Neuquén,105.90054545454545,160180
2022,4,Río Negro,148.32239024390245,162092
2022,4,Salta,123.3974375,205860
2022,4,San Juan,29.56607692307692,103826
2022,4,San Luis,77.64872,135220
2022,4,Santa Cruz,18.574749999999998,50203
2022,4,Santa Fe,137.60685999999998,887691
2022,4,Santiago Del Estero,88.26871999999999,119494
2022,4,Tierra Del Fuego,34.68635714285714,55259
2022,4,Tucumán,103.4034705882353,263422
2023,1,Buenos Aires,127.88401136363636,4820928
2023,1,Capital Federal,145.05727777777778,1548729
2023,1,Catamarca,136.00536363636363,71492
2023,1,Chaco,113.70864516129032,142442
2023,1,Chubut,48.35783870967742,170053
2023,1,Corrientes,99.72207142857143,157020
2023,1,Córdoba,112.40168852459016,1049972
2023,1,Entre Ríos,94.55740625,274878
2023,1,Formosa,93.32158333333332,60985
2023,1,Jujuy,134.81786206896552,117981
2023,1,La Pampa,52.87396774193548,116504
2023,1,La Rioja,104.12878260869566,86405
2023,1,Mendoza,93.84035135135134,293019
2023,1,Misiones,101.53291891891891,190685
2023,1,Neuquén,105.90054545454545,160412
2023,1,Río Negro,148.32239024390245,164331
2023,1,Salta,140.93288235294116,205426
2023,1,San Juan,68.59707142857143,101767
2023,1,San Luis,107.45251851851852,135463
2023,1,Santa Cruz,18.574749999999998,50361
2023,1,Santa Fe,134.36621153846153,886274
2023,1,Santiago Del Estero,87.21992307692307,118555
2023,1,Tierra Del Fuego,40.49027586206896,57112
2023,1,Tucumán,118.73479999999999,261100
2023,2,Buenos Aires,118.13042857142857,5044503
2023,2,Capital Federal,149.86225,1504686
2023,2,Catamarca,131.05295652173913,74933
2023,2,Chaco,118.40406896551724,155543
2023,2,Chubut,65.20861764705882,170674
2023,2,Corrientes,118.59372413793103,157894
2023,2,Córdoba,112.24267213114754,1082180
2023,2,Entre Ríos,97.36976666666666,296552
2023,2,Formosa,89.60372,62718
2023,2,Jujuy,132.64544827586207,118053
2023,2,La Pampa,84.57857575757575,122195
2023,2,La Rioja,107.721,87782
2023,2,Mendoza,95.05656756756757,302597
2023,2,Misiones,123.71872727272726,202556
2023,2,Neuquén,101.15915625,164246
2023,2,Río Negro,142.79983333333334,171019
2023,2,Salta,145.65812121212122,202860
2023,2,San Juan,69.61918518518517,106666
2023,2,San Luis,105.87844444444444,156088
2023,2,Santa Cruz,55.315406249999995,80208
2023,2,Santa Fe,133.0442075471698,918585
2023,2,Santiago Del Estero,103.86046428571429,124362
2023,2,Tierra Del Fuego,54.14059999999999,61554
2023,2,Tucumán,122.52111764705882,264595
2023,3,Buenos Aires,128.1154367816092,4968237
2023,3,Capital Federal,147.78937735849055,1467984
2023,3,Catamarca,136.80536363636364,74355
2023,3,Chaco,113.70864516129032,142146
2023,3,Chubut,48.35783870967742,168068
2023,3,Corrientes,99.72207142857143,159829
2023,3,Córdoba,112.40168852459016,1069334
2023,3,Entre Ríos,94.55740625,293293
2023,3,Formosa,89.60372,61314
2023,3,Jujuy,134.81786206896552,117377
2023,3,La Pampa,82.60887878787878,119921
